NSAMPLES	MODEL	TRANS	REP	R2	X2	X2p	X2c	nMSE	PCC	RHO
226	Normal	blom	76	1.0	31092650534.8	1.1243893788	-2.03450534413	2.06735910831	0.0159796441704	0.00270444571876
226	Normal	blom	77	1.0	296007981.917	1.15543989756	-2.01784077709	2.06400019608	0.0210119695494	0.0058471811658
226	Normal	blom	78	1.0	599180412.582	1.12568715307	-2.03770322824	2.06460806752	0.0261069995869	0.00622695998672
226	Normal	blom	79	1.0	371296460.051	1.22094844232	-1.98163251533	2.068294246	0.0239865801654	-0.000374634336676
226	Normal	blom	8	1.0	551080074.916	1.13142790854	-2.03011593313	2.06176686646	0.0277817015491	0.00890880858829
226	Normal	blom	80	1.0	366027435.101	1.09470405927	-2.05633206933	2.06695242087	0.0140409534494	0.00448741750441
226	Normal	blom	81	1.0	1529056929.82	1.13135551291	-2.02901433355	2.06795259466	0.0198702465601	0.00483154963655
226	Normal	blom	82	1.0	602091473.765	1.10912057928	-2.03719040742	2.0678979403	0.0227656772718	0.0033296424381
226	Normal	blom	83	1.0	342114497.822	1.14668897118	-2.03256041646	2.06512496047	0.0257363226544	0.00687402579343
226	Normal	blom	84	1.0	283592140.106	1.09659748337	-2.05207700369	2.07409421048	0.00837881128697	0.00036177544043
226	Normal	blom	85	1.0	80196278.793	1.08899058397	-2.04208376451	2.05916528517	0.0216862792445	0.00903297845022
226	Normal	blom	86	1.0	456431856.437	1.17170406085	-2.00717877553	2.07238710513	0.0200145551711	0.000545368031663
226	Normal	blom	87	1.0	35661427.083	1.19518372206	-1.99164670895	2.06834239377	0.0219657379937	0.0034317903057
226	Normal	blom	88	1.0	508088647.349	1.13384482939	-2.0308371005	2.06799729935	0.0145270053077	0.00283816168496
226	Normal	blom	89	1.0	941598689.557	1.13665257454	-2.03023997686	2.06931639632	0.0259538692606	0.00271876264724
